source,target
78021,1198123
78021,78021
78021,106207
52860,78021
78021,1515269
78021,2029964
42545,78021
15832,78021
78021,1404664
78021,1404667
70602,78021
78021,1036843
78021,1288492
44762,78021
78021,93190
78021,106166
1748,78021
78021,1229317
8891,78021
11770,78021
73040,78021
27993,78021
3027,78021
78021,131120
4955,78021
78021,1133295
78021,1536126
78021,1536127
44038,78021
78021,1376433
78021,1376434
78021,1102159
16847,16847
16847,19487
2714,16847
287,16847
16847,19119
16847,27319
16847,52365
16847,21429
2127,16847
2128,16847
16847,20493
16847,33656
16847,39520
11462,16847
11465,16847
2144,16847
141,16847
2505,16847
2714,52602
2714,2714
2517,2714
2714,59183
2714,111207
2714,14392
2053,2714
2714,22082
2714,3085
2714,60848
2714,1229762
2714,31365
2714,23967
2714,78494
2714,571562
2714,75039
67599,67599
67599,1443708
1443708,1443708
587506,1443708
543505,1443708
130640,1443708
44038,44038
44038,160663
8891,44038
2115,44038
102429,102429
102334,102429
19707,102429
31302,102429
100659,102429
11770,102429
31211,102429
12515,102429
13578,102429
9925,102429
44762,102429
83198,102429
101377,102429
141,102429
2922,102429
30814,102429
10828,102429
1038,102429
4173,102429
349,102429
1032,102429
102429,1006721
1158,102429
3087,102429
3092,102429
102334,102334
44762,44762
44762,93190
44762,106166
650,44762
44762,104021
44762,100360
16178,44762
21278,44762
44762,109255
7505,44762
26660,44762
44762,3035391
44762,3035392
44762,82702
926,44762
1905,44762
44762,79084
16028,44762
41955,44762
100360,100360
98226,100360
35579,100360
100359,100360
93190,100360
100360,106166
650,100360
100360,104021
62596,62596
62596,64722
11357,62596
16938,62596
62596,97915
27804,62596
62596,97914
27747,62596
62596,80579
55841,62596
11770,62596
62596,73040
27993,62596
7073,62596
62596,99906
5141,62596
5140,62596
3027,62596
62596,131120
4955,62596
16847,62596
2714,62596
44038,62596
11784,62596
64722,64722
11357,64722
44762,64722
16178,64722
12515,64722
13578,64722
9925,64722
64722,1036843
64722,1351030
5141,64722
5140,64722
11357,11357
2545,11357
8212,11357
11357,222130
11357,1924482
11357,1658964
16178,16178
16178,30807
16178,30808
16178,164807
14464,16178
